Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,IncomeCategory,ExperienceCategory,PromotionRiskScore,OT_Score,AttritionRiskScore
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,96,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,Mid,High Income,Intermediate,11,0,11.502004008016032
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,96,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,Mid,Low Income,Intermediate,1,1,10.532140691328078
24,No,Non-Travel,1123,Research & Development,16,2,Medical,1,96,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,Young,Low Income,Beginner,1,1,16.407155025553664
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,96,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,28,3,3,20,8,3,7,Veteran,High Income,Expert,7,0,1.6482141699617554
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,96,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,Senior,Medium Income,Intermediate,2,1,8.535496957403652
24,No,Non-Travel,673,Research & Development,11,2,Other,1,96,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,Young,Medium Income,Beginner,3,0,7.993143854400399
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,96,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,22,4,2,80,0,10,4,3,5,3,0,3,Senior,Low Income,Intermediate,1,0,7.43513354857646
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,96,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,10,Mid,High Income,Experienced,5,0,4.333750208437552
24,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,96,3,Male,96,3,1,Research Scientist,4,Single,2097,19281,1,Y,No,14,3,4,80,0,1,5,3,1,0,0,0,Young,Low Income,Beginner,1,0,12.268717215069145
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,96,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Mid,Low Income,Intermediate,2,0,6.378378378378379
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,96,3,Female,58,3,4,Manager,3,Divorced,17856,10735,4,Y,No,11,3,4,80,1,26,3,2,14,11,4,8,Veteran,High Income,Expert,8,0,3.0600358422939067
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,96,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Mid,Medium Income,Intermediate,7,1,15.5516713447308
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,96,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Senior,High Income,Intermediate,6,0,5.465201465201465
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,96,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3376,3,Y,No,14,3,4,80,1,24,4,3,20,6,5,10,Senior,High Income,Expert,8,0,4.475800156128025
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,96,2,Female,83,3,4,Manager,1,Single,17856,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Veteran,High Income,Expert,6,0,1.5600358422939067
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,96,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,Mid,Low Income,Intermediate,1,0,5.006410256410256
44,No,Travel_Rarely,1425,Research & Development,10,4,Other,1,96,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,Senior,Medium Income,Intermediate,3,1,11.546790409899458
30,No,Travel_Rarely,164,Research & Development,9,2,Medical,1,96,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,Mid,Low Income,Intermediate,2,0,9.033091568449683
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,96,4,Male,56,3,2,Sales Representative,4,Married,2097,3376,3,Y,No,14,3,3,80,1,19,5,4,1,0,0,0,Senior,Low Income,Experienced,2,0,7.268717215069146
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,96,2,Male,61,3,1,Research Scientist,4,Married,2293,3376,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Young,Low Income,Intermediate,3,1,9.86109899694723
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,96,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,Senior,Low Income,Intermediate,2,0,4.7807183364839325
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,96,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Veteran,Low Income,Beginner,1,1,10.227171077152441
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,96,4,Female,97,3,1,Sales Representative,4,Married,2097,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,Mid,Low Income,Beginner,3,0,5.768717215069146
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,96,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,8,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,Senior,Low Income,Intermediate,1,1,10.424831822170226
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,96,3,Female,42,4,2,Sales Executive,1,Married,5376,3376,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,Mid,Medium Income,Intermediate,3,0,2.3601190476190474
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,96,3,Male,75,3,1,Laboratory Technician,4,Divorced,2097,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,Mid,Low Income,Beginner,1,0,6.768717215069146
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,96,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,5,3,1,0,0,0,Mid,Low Income,Beginner,1,0,5.271678769756514
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,96,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Mid,Low Income,Beginner,1,0,16.86109899694723
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,96,4,Male,37,3,3,Sales Executive,3,Single,8726,3376,1,Y,No,15,3,4,80,0,9,1,3,9,8,1,7,Mid,High Income,Intermediate,4,0,5.1460004584001835
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,96,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,22,4,4,80,0,12,2,3,12,8,3,7,Mid,Medium Income,Experienced,5,0,2.9931438544003988
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,96,2,Female,49,3,4,Research Director,3,Married,17856,16280,1,Y,No,12,3,4,80,0,23,1,3,20,11,9,8,Senior,High Income,Expert,13,0,6.560035842293907
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,96,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,Mid,Medium Income,Intermediate,10,0,13.689141856392293
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,96,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,Senior,Low Income,Intermediate,1,0,12.809066843150232
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,96,1,Male,97,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,Veteran,Medium Income,Experienced,2,1,9.232501732501733
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,96,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Mid,Low Income,Beginner,1,0,8.407227853680034
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,96,1,Male,97,2,3,Laboratory Technician,3,Single,5381,19294,8,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Veteran,Medium Income,Expert,3,1,7.358390633711206
28,Yes,Travel_Rarely,1425,Research & Development,5,4,Technical Degree,1,96,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Mid,Low Income,Beginner,3,1,10.406131938390002
44,No,Travel_Rarely,1425,Sales,1,4,Marketing,1,96,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Senior,Medium Income,Intermediate,3,1,7.333516685001833
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,96,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,Mid,High Income,Intermediate,5,1,11.511736139214893
26,No,Travel_Rarely,1425,Sales,23,3,Marketing,1,96,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Mid,Medium Income,Beginner,2,1,18.905580947798892
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,96,1,Female,97,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,11,8,10,Mid,High Income,Experienced,11,1,6.243052459503641
35,No,Travel_Frequently,853,Sales,18,4,Life Sciences,1,96,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,Mid,High Income,Intermediate,4,0,10.10265740434447
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,96,3,Female,33,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Mid,Medium Income,Beginner,3,1,18.991280518186347
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,96,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,Mid,Medium Income,Intermediate,3,0,5.19061707523246
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,96,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,3376,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,Senior,Medium Income,Intermediate,2,0,2.168613382279326
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,96,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Mid,Medium Income,Intermediate,9,1,7.122849724115547
38,No,Travel_Frequently,653,Research & Development,26,4,Life Sciences,1,96,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,Senior,Low Income,Intermediate,11,0,17.156275976724856
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,96,2,Female,43,2,4,Research Director,3,Divorced,17856,16701,5,Y,Yes,12,3,4,80,1,28,2,2,20,3,9,8,Veteran,High Income,Expert,13,1,9.060035842293907
54,No,Travel_Rarely,1425,Sales,25,3,Life Sciences,1,96,1,Female,97,3,3,Sales Executive,1,Single,7637,3376,7,Y,No,11,3,4,80,0,28,3,2,20,11,7,9,Veteran,High Income,Expert,10,0,13.80941469163284
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,96,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,11,9,8,Senior,High Income,Experienced,12,0,4.990491283676704
54,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,96,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Veteran,High Income,Expert,4,1,9.677690431011115
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,96,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Senior,Medium Income,Intermediate,2,0,7.038698261270965
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,96,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,Senior,High Income,Expert,3,0,4.5283833813245575
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,96,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Mid,Low Income,Beginner,2,0,5.057885141294439
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,96,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,1,2,1,0,0,0,Senior,Low Income,Beginner,1,1,12.45159386068477
54,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,96,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Veteran,Medium Income,Experienced,3,0,2.327151470856934
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,96,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,22,4,4,80,1,6,3,3,5,4,0,4,Mid,Low Income,Intermediate,1,0,4.699593044765075
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,96,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,Mid,Low Income,Beginner,2,0,4.498400639744102
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,Mid,Medium Income,Intermediate,2,0,2.107717041800643
36,No,Travel_Rarely,164,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Senior,Low Income,Beginner,1,0,6.291639236339697
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,22,4,4,80,0,11,2,3,11,7,1,8,Mid,Medium Income,Experienced,3,0,6.260397830018084
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,33,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,11,2,8,Mid,Medium Income,Experienced,4,0,2.8191094619666046
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,1,0,0,0,Senior,High Income,Experienced,3,1,8.755001887504719
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,33,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,Senior,High Income,Experienced,3,0,4.231850117096019
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,Veteran,Medium Income,Experienced,2,1,9.491635132443736
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,Mid,Medium Income,Intermediate,5,1,7.450838860710105
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,33,2,1,Research Scientist,3,Single,2859,25440,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,Mid,Low Income,Intermediate,1,0,3.997726477789437
54,No,Travel_Rarely,164,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,Veteran,High Income,Expert,4,0,1.4766578767457759
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Senior,Medium Income,Experienced,3,1,9.876524676299493
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,Mid,Medium Income,Beginner,3,0,2.8121387283236996
54,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,28,3,2,6,4,0,2,Veteran,High Income,Expert,3,0,4.877410468319559
24,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,1,0,0,0,Young,Low Income,Beginner,1,0,5.306632213608958
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2097,18725,3,Y,No,22,4,2,80,2,10,4,3,4,2,0,3,Veteran,Low Income,Intermediate,1,0,9.268717215069145
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,97,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,9,8,Mid,Medium Income,Experienced,11,0,3.4084778420038537
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Veteran,High Income,Intermediate,7,0,5.539609106975777
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,20,3,9,10,Senior,High Income,Expert,13,0,1.2405761682589054
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,Veteran,Medium Income,Experienced,3,1,17.33789744532255
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,Mid,Medium Income,Experienced,4,1,8.919754271453254
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3376,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,Veteran,High Income,Expert,12,1,6.4369436896842505
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,1,3,11,8,5,7,Mid,Medium Income,Experienced,7,0,4.996007984031936
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549,24001,8,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,Veteran,High Income,Experienced,3,0,1.7380618495829951
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,Young,Medium Income,Beginner,2,0,3.500400080016003
28,No,Non-Travel,164,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Mid,Medium Income,Beginner,2,0,4.369106846718787
54,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,28,1,2,20,10,1,8,Veteran,High Income,Expert,5,0,5.720876585928489
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2097,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,Senior,Low Income,Experienced,3,0,16.268717215069145
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2097,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Senior,Low Income,Intermediate,1,1,12.768717215069145
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,Mid,Low Income,Beginner,1,0,3.8829499323410013
24,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Young,Low Income,Beginner,2,1,11.417634996582365
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,11,2,10,Mid,Medium Income,Experienced,4,0,5.079434393844874
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,97,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,Senior,Medium Income,Experienced,2,0,2.936858415649816
54,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,33,2,4,Manager,4,Married,17856,21922,8,Y,No,21,4,4,80,1,28,3,3,3,2,2,2,Veteran,High Income,Expert,6,0,1.5600358422939067
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,4,Research Director,2,Married,17856,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,Veteran,High Income,Expert,4,1,6.060035842293907
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,25440,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Young,Medium Income,Intermediate,2,1,9.240947075208913
